tweet,actual,predicted
love looks good maddie ako clove young sobrang spice how may zolo soya before with the past mayo lowkey,1,"(('__label__POSITIVE',), array([0.61730498]))"
gonna start another june sour note Uhhhh yes yes yes,1,"(('__label__POSITIVE',), array([0.49884781]))"
within address title chahta qki mere hither Tell,1,"(('__label__NEUTRAL',), array([0.78953755]))"
caring very more caring courier wale bsdk sign also self krlete my,0,"(('__label__NEGATIVE',), array([0.7013014]))"
status nonsense ever statement but fishing team successful other sakti log their liy,2,"(('__label__NEGATIVE',), array([0.48098475]))"
best luck sir world cup for ghost ghost Good luck,2,"(('__label__POSITIVE',), array([0.66235971]))"
yes great dialogues sacking one also stealth stealth over chhaddabeshi all except sholay,2,"(('__label__POSITIVE',), array([0.55669832]))"
state bhakti words the same wit Can have self Patriot log sir bharat Your The pieces pretense,0,"(('__label__NEUTRAL',), array([0.57344037]))"
pakistani team effort ahead allah marziiiiiiiiiiiii,2,"(('__label__POSITIVE',), array([0.66737789]))"
what tum our father family other who him bay sport Helpful fucker hua what,0,"(('__label__NEGATIVE',), array([0.9814285]))"
are Stayed other Modi then ban Gone mutely clean straightway straightway Characters,1,"(('__label__NEGATIVE',), array([0.62344843]))"
pimp photo elections yesterday more conversancy mat words,0,"(('__label__NEGATIVE',), array([0.75803125]))"
wadraaaa omnibus frame paisa other film industry then tentacle,0,"(('__label__NEGATIVE',), array([0.50661147]))"
dusting The one american your tyre accursed kardeti have and any exercise also other spire sacking sucks ive gained weight,0,"(('__label__NEUTRAL',), array([0.57528871]))"
wit I Rahul gandhi which words for udash have And victory have Modi other log up,0,"(('__label__NEGATIVE',), array([0.51503778]))"
Sunita nigger jab And seal Will break more dard pier media anchor Will happen,0,"(('__label__NEUTRAL',), array([0.55159479]))"
Narendra Modi pure majority winning par very very greeting,2,"(('__label__POSITIVE',), array([0.97139794]))"
wise what invite other what most corrupted party indian history good politics from well done,0,"(('__label__POSITIVE',), array([0.58527809]))"
volunteer abode straightforward austere lead open free coaching center for needy people,2,"(('__label__NEUTRAL',), array([0.5421468]))"
believe thirty not fake fight for cause not the flaws please Brother,1,"(('__label__NEUTRAL',), array([0.51590538]))"
vote advertency sub words vote other Get hindu muslim caste advertency unaccompanied vote bank,1,"(('__label__NEGATIVE',), array([0.6474092]))"
pakistan start hone yesterday lyric hold tired sub match so Will play for india August Play ass main current uncork,0,"(('__label__NEUTRAL',), array([0.51074386]))"
acquire your views slow also upon times may feel better now hypocrate,0,"(('__label__NEUTRAL',), array([0.56302714]))"
many many greeting underway hind underway jawan underway tiller azaade hind Manish Military the blood sudor,2,"(('__label__POSITIVE',), array([0.94050789]))"
precinct have girl moonstruck have moonstruck significance have mentally disturbed Ranchi agra,0,"(('__label__NEGATIVE',), array([0.61926568]))"
bus sympathy team Will win Because Anushka slow dry dual god bless all,2,"(('__label__POSITIVE',), array([0.93627006]))"
watch exciting episode its sir muslim khan special with thirty,1,"(('__label__NEUTRAL',), array([0.38411227]))"
this mercy young pokemon have,1,"(('__label__NEUTRAL',), array([0.46758214]))"
abe dog gross muslim wow Your nidus cake travelling doing have Your within dam have then,0,"(('__label__NEGATIVE',), array([0.83571601]))"
not happy with appointments far all see men getting appointed status about women women ain,0,"(('__label__POSITIVE',), array([0.55461293]))"
Good india pakistan beech cricket world cup match but visualise much fun,1,"(('__label__NEUTRAL',), array([0.76763564]))"
loru horn tera bap brt Career par cost hold have your mother’s Feed sell have father gand,0,"(('__label__NEGATIVE',), array([0.83064717]))"
means straight stinking girl best couple,2,"(('__label__NEUTRAL',), array([0.63137788]))"
Tobacco par Warning scripted spire have this workings cancer donkey have but government eyes band score,0,"(('__label__NEUTRAL',), array([0.64634985]))"
the only thing sacking want life see eat happy slow always smile love eat the moon slow back cuz,2,"(('__label__POSITIVE',), array([0.76416719]))"
account this sub on me rely tax are have fahad abb then transport industry on you rely Will do beta streak boy making,0,"(('__label__NEUTRAL',), array([0.40127963]))"
grab copy critically acclaimed best seller history the deep state ebook format,2,"(('__label__POSITIVE',), array([0.56342363]))"
handsome hunk anthem Messiah allah keen fantastic mind blowing awesome anthem,2,"(('__label__POSITIVE',), array([0.89573473]))"
bin Your bin Your bin Your any Kharish The winds within bin Your please bring them back together,1,"(('__label__NEUTRAL',), array([0.71135521]))"
Narendra Modi greeting else resident and us lake informal rich din other ban hold have,1,"(('__label__POSITIVE',), array([0.71374053]))"
thinking hold times hers birthday par gift plastic ticker therefrom farm also Will remain and broken also other,0,"(('__label__NEUTRAL',), array([0.61099041]))"
congress finding took have anchor agar vestige Go To indulge wale dog for amish sad,0,"(('__label__NEGATIVE',), array([0.80200076]))"
time main okay tired pubg acrobatic the,1,"(('__label__NEUTRAL',), array([0.83781159]))"
livelong family terrorist have and self Itchy dog dog plz mother commission Your insult To do,2,"(('__label__NEGATIVE',), array([0.94636393]))"
jab then Ramji trail By falling Will ask other Will find other lyric baba tool K tax for main their K other,0,"(('__label__NEUTRAL',), array([0.47257882]))"
Sampi award best variety show busted best idol actor sehun best soundtrack live playfellow best couple kyungsoo,0,"(('__label__POSITIVE',), array([0.80682987]))"
many many Good luck hope eat scale new heights near future,0,"(('__label__POSITIVE',), array([0.67836541]))"
rubika Ages within you rich younger hun par big fan yours ever luck fantasm,1,"(('__label__POSITIVE',), array([0.60620475]))"
streak song Jis adnan sami mujahid part play Kenya tired adnan sami song recollection rush,1,"(('__label__NEUTRAL',), array([0.52732879]))"
election And victory public congress vote what tired,1,"(('__label__NEGATIVE',), array([0.51053554]))"
eat awesome much love slow hope see apsa,2,"(('__label__POSITIVE',), array([0.88796324]))"
brother sri Narendra Modi you sympathy Many Many greeting you temple section game commission,1,"(('__label__POSITIVE',), array([0.73593062]))"
oye have nikey consternation bang chaper have Your moo main sun other informal somewhere abey,2,"(('__label__NEGATIVE',), array([0.65045601]))"
