tweet,actual,predicted
love looks good maddie ako clove young sobrang spice how may zolo soya before with the past mayo lowkey,1,"(('__label__NEUTRAL,its',), array([0.02430184]))"
gonna start another june sour note Uhhhh yes yes yes,1,"(('__label__NEUTRAL,hahahaha',), array([0.01600525]))"
within address title chahta qki mere hither Tell,1,"(('__label__NEUTRAL,you',), array([0.05910169]))"
caring very more caring courier wale bsdk sign also self krlete my,0,"(('__label__NEUTRAL,good',), array([0.21265781]))"
status nonsense ever statement but fishing team successful other sakti log their liy,2,"(('__label__NEUTRAL,tum',), array([0.0365989]))"
best luck sir world cup for ghost ghost Good luck,2,"(('__label__POSITIVE,best',), array([0.62684447]))"
yes great dialogues sacking one also stealth stealth over chhaddabeshi all except sholay,2,"(('__label__POSITIVE,the',), array([0.01237727]))"
state bhakti words the same wit Can have self Patriot log sir bharat Your The pieces pretense,0,"(('__label__NEUTRAL,the',), array([0.03489773]))"
pakistani team effort ahead allah marziiiiiiiiiiiii,2,"(('__label__POSITIVE,allah',), array([0.10825849]))"
what tum our father family other who him bay sport Helpful fucker hua what,0,"(('__label__NEGATIVE,sisters',), array([0.08672732]))"
are Stayed other Modi then ban Gone mutely clean straightway straightway Characters,1,"(('__label__NEUTRAL,tum',), array([0.02165126]))"
pimp photo elections yesterday more conversancy mat words,0,"(('__label__NEGATIVE,abe',), array([0.12705609]))"
wadraaaa omnibus frame paisa other film industry then tentacle,0,"(('__label__NEGATIVE,bachoun',), array([0.00378067]))"
dusting The one american your tyre accursed kardeti have and any exercise also other spire sacking sucks ive gained weight,0,"(('__label__NEGATIVE,some',), array([0.01516257]))"
wit I Rahul gandhi which words for udash have And victory have Modi other log up,0,"(('__label__NEUTRAL,words',), array([0.03844403]))"
Sunita nigger jab And seal Will break more dard pier media anchor Will happen,0,"(('__label__NEUTRAL,sir',), array([0.02034472]))"
Narendra Modi pure majority winning par very very greeting,2,"(('__label__POSITIVE,dear',), array([0.07335097]))"
wise what invite other what most corrupted party indian history good politics from well done,0,"(('__label__NEUTRAL,sir',), array([0.02789926]))"
volunteer abode straightforward austere lead open free coaching center for needy people,2,"(('__label__NEUTRAL,are',), array([0.01384356]))"
believe thirty not fake fight for cause not the flaws please Brother,1,"(('__label__NEUTRAL,status',), array([0.07273233]))"
vote advertency sub words vote other Get hindu muslim caste advertency unaccompanied vote bank,1,"(('__label__NEUTRAL,the',), array([0.03262545]))"
pakistan start hone yesterday lyric hold tired sub match so Will play for india August Play ass main current uncork,0,"(('__label__NEUTRAL,pakistan',), array([0.03002353]))"
acquire your views slow also upon times may feel better now hypocrate,0,"(('__label__NEUTRAL,eat',), array([0.07194649]))"
many many greeting underway hind underway jawan underway tiller azaade hind Manish Military the blood sudor,2,"(('__label__POSITIVE,underway',), array([0.16343811]))"
precinct have girl moonstruck have moonstruck significance have mentally disturbed Ranchi agra,0,"(('__label__POSITIVE,each',), array([0.01503672]))"
bus sympathy team Will win Because Anushka slow dry dual god bless all,2,"(('__label__NEGATIVE,thats',), array([0.02349662]))"
watch exciting episode its sir muslim khan special with thirty,1,"(('__label__NEUTRAL,really',), array([0.01751519]))"
this mercy young pokemon have,1,"(('__label__NEGATIVE,sacking',), array([0.06897368]))"
abe dog gross muslim wow Your nidus cake travelling doing have Your within dam have then,0,"(('__label__NEGATIVE,this',), array([0.11202219]))"
not happy with appointments far all see men getting appointed status about women women ain,0,"(('__label__POSITIVE,very',), array([0.02432357]))"
Good india pakistan beech cricket world cup match but visualise much fun,1,"(('__label__POSITIVE,pakistan',), array([0.23158909]))"
loru horn tera bap brt Career par cost hold have your mother’s Feed sell have father gand,0,"(('__label__NEGATIVE,your',), array([0.09591331]))"
means straight stinking girl best couple,2,"(('__label__NEUTRAL,your',), array([0.0091012]))"
Tobacco par Warning scripted spire have this workings cancer donkey have but government eyes band score,0,"(('__label__NEUTRAL,congress',), array([0.08680119]))"
the only thing sacking want life see eat happy slow always smile love eat the moon slow back cuz,2,"(('__label__POSITIVE,aww',), array([0.07844646]))"
account this sub on me rely tax are have fahad abb then transport industry on you rely Will do beta streak boy making,0,"(('__label__NEUTRAL,thirty',), array([0.01648585]))"
grab copy critically acclaimed best seller history the deep state ebook format,2,"(('__label__NEUTRAL,all',), array([0.01493466]))"
handsome hunk anthem Messiah allah keen fantastic mind blowing awesome anthem,2,"(('__label__POSITIVE,thirty',), array([0.0494273]))"
bin Your bin Your bin Your any Kharish The winds within bin Your please bring them back together,1,"(('__label__POSITIVE,your',), array([0.01554985]))"
Narendra Modi greeting else resident and us lake informal rich din other ban hold have,1,"(('__label__POSITIVE,modi',), array([0.16926129]))"
thinking hold times hers birthday par gift plastic ticker therefrom farm also Will remain and broken also other,0,"(('__label__NEUTRAL,pakistan',), array([0.03836036]))"
congress finding took have anchor agar vestige Go To indulge wale dog for amish sad,0,"(('__label__NEGATIVE,tum',), array([0.03650045]))"
time main okay tired pubg acrobatic the,1,"(('__label__NEUTRAL,also',), array([0.32845044]))"
livelong family terrorist have and self Itchy dog dog plz mother commission Your insult To do,2,"(('__label__NEGATIVE,tum',), array([0.08552805]))"
jab then Ramji trail By falling Will ask other Will find other lyric baba tool K tax for main their K other,0,"(('__label__NEUTRAL,agar',), array([0.0107143]))"
Sampi award best variety show busted best idol actor sehun best soundtrack live playfellow best couple kyungsoo,0,"(('__label__POSITIVE,all',), array([0.04861289]))"
many many Good luck hope eat scale new heights near future,0,"(('__label__POSITIVE,modi',), array([0.12456021]))"
rubika Ages within you rich younger hun par big fan yours ever luck fantasm,1,"(('__label__POSITIVE,modi',), array([0.34923813]))"
streak song Jis adnan sami mujahid part play Kenya tired adnan sami song recollection rush,1,"(('__label__NEUTRAL,your',), array([0.02617366]))"
election And victory public congress vote what tired,1,"(('__label__NEUTRAL,congress',), array([0.05377243]))"
eat awesome much love slow hope see apsa,2,"(('__label__POSITIVE,maaza',), array([0.06227762]))"
brother sri Narendra Modi you sympathy Many Many greeting you temple section game commission,1,"(('__label__POSITIVE,us',), array([0.06556302]))"
oye have nikey consternation bang chaper have Your moo main sun other informal somewhere abey,2,"(('__label__NEUTRAL,your',), array([0.01224085]))"
reminds famous dialogue welcome movie saudi arabia billion what tera father fuck conversancy tired your mother’s,0,"(('__label__NEGATIVE,your',), array([0.04091576]))"
us state daughter-in-law aboard public The need who padhegionly for good job good salary india worth tired,0,"(('__label__NEUTRAL,very',), array([0.01781744]))"
BJP wale bunglow theft we strain Broken wale uncork tired To everyone children din I,2,"(('__label__NEGATIVE,sneak',), array([0.02006271]))"
eat get ram chanting underway sri ram ram wit work,0,"(('__label__POSITIVE,thank',), array([0.14218281]))"
government what some other tax sakti us Sent other Will come tum thinking also other Can,0,"(('__label__NEGATIVE,public',), array([0.03621425]))"
love gone gal,2,"(('__label__NEGATIVE,fucking',), array([0.15437081]))"
who The rumor Spread computer baba silent supporter the and,1,"(('__label__NEGATIVE,status',), array([0.04398835]))"
khusra pakistan maraud To do Friends fever Does qoom abrasive disdain,0,"(('__label__NEUTRAL,india',), array([0.01425304]))"
really have take boat get home out here damn just want sleep,1,"(('__label__NEUTRAL,thirty',), array([0.10696605]))"
thank eat june thank eat for all the great news now ahead slow the best june ever,2,"(('__label__POSITIVE,dear',), array([0.08170034]))"
saving one life saves humanity blood donors fori adult hay may wed night Bet pyhly may for Bipas,2,"(('__label__POSITIVE,not',), array([0.01413106]))"
respected Modi you bar fir new india want snap for you Hearty Good luck,2,"(('__label__NEUTRAL,best',), array([0.28885606]))"
manniy Narendra Modi withdrawnness bar established lane infinity Best wishes hope world year then,2,"(('__label__POSITIVE,sub',), array([0.01741984]))"
ggggg Sure my characteristics plant dyna shake after bura many,1,"(('__label__NEUTRAL,modi',), array([0.01737559]))"
other leave may Because agar congress at bharat acquire have inka congress President turn Must have,1,"(('__label__NEGATIVE,congress',), array([0.06062336]))"
hope suit sir yours conversancy marvelous,1,"(('__label__POSITIVE,sir',), array([0.57435477]))"
acid publish sekhly tertiary breed fail,1,"(('__label__NEGATIVE,fucker',), array([0.00677246]))"
dear standard don insult Modi thirty wrong data what kami Rakhi have They you Palne of fantasy Please Keep,1,"(('__label__NEGATIVE,eat',), array([0.02349347]))"
lentil lentil lafafa leta main app tweets Beat my words other sun pakistan,0,"(('__label__NEGATIVE,pakistan',), array([0.04030076]))"
cute sweet lovely pretty beauty queen hope din us for merriment,2,"(('__label__POSITIVE,happy',), array([0.23250091]))"
south africa bowling india accompaniment Will run what,1,"(('__label__NEUTRAL,but',), array([0.01764157]))"
sir you throw ketchup their election Modi jig ram brother sky sat,1,"(('__label__POSITIVE,congratulations',), array([0.56632274]))"
underway sri ram parents are big fan yours since because puff,1,"(('__label__POSITIVE,underway',), array([0.22224748]))"
live urdu delivered the head ahmadiyya muslim community India Mirza lentil ahmad,1,"(('__label__POSITIVE,today',), array([0.00658707]))"
sir world cup middle order batting To do chance abut time yours experience and feeling what tired,1,"(('__label__POSITIVE,brother',), array([0.069773]))"
you sir gandhi people par who lyric and BJP mother what people other have their for who other lyric what,1,"(('__label__NEGATIVE,abe',), array([0.12041508]))"
mind them dear but eat fine fall,1,"(('__label__POSITIVE,ha',), array([0.04135811]))"
your mother’s also you phd proceedings thirty recollection have special corruption group very Non-committal qisam,0,"(('__label__POSITIVE,good',), array([0.15536901]))"
Sure abdullah zarur dua Will do allah nidus To do flame have jazakallah,1,"(('__label__NEUTRAL,allah',), array([0.02351271]))"
love eat back guys are speechless the way eat guys showered love streak mean much,2,"(('__label__POSITIVE,eat',), array([0.15069303]))"
Modi also kry support tension lyny other deny tea workings great words Flute Council fall,1,"(('__label__NEUTRAL,any',), array([0.01309562]))"
take care bibi allah nidus more stupidity will tolerated now bismillah amitbhai underway,0,"(('__label__POSITIVE,best',), array([0.07107548]))"
stone into your brother tonight man hes doing well for himself slow thirty family moving oklahoma can eat bel,0,"(('__label__NEUTRAL,thirty',), array([0.10413186]))"
public sortie mark have courtly vowel boforswale also some Overthrow other Can,0,"(('__label__NEGATIVE,public',), array([0.01271208]))"
hello can eat mod strain music app there mod for ios,0,"(('__label__NEUTRAL,god',), array([0.08279486]))"
congratulation for thirty award love eat much hame laugh kerne for,2,"(('__label__POSITIVE,hahaha',), array([0.11281861]))"
for log jab jab wash poetry adjacent Passing by thay snout band Kerr leta tired poor,1,"(('__label__NEGATIVE,sale',), array([0.04904377]))"
wrong please explain zeenews hindi adorer the also hers family belongs story tired slow bonfire also,2,"(('__label__POSITIVE,thirty',), array([0.01751705]))"
have from all super Modi have from all but Modi,1,"(('__label__NEUTRAL,pleasure',), array([0.12846534]))"
what Surfraz ahmed performance also reason pakistan losing streak slow eat so back back accursed,1,"(('__label__POSITIVE,allah',), array([0.05203073]))"
congratulations sir proud eat you livelong frame have you watercraft unexpended home minister turn,2,"(('__label__POSITIVE,sir',), array([0.45664889]))"
then status the fuck are gonna eat cereal with fucking water,0,"(('__label__NEGATIVE,just',), array([0.17580551]))"
Modi appeal much logo gas Subsidy Left what Modi appeal des Crorepati parliament,1,"(('__label__NEGATIVE,shame',), array([0.01431036]))"
Companionship recreation you legislator suit very bad election your next legislator,0,"(('__label__POSITIVE,good',), array([0.02574022]))"
super hilarious but true reality those Nura Basterd family Ghoommustafa stale,1,"(('__label__NEGATIVE,your',), array([0.00764465]))"
dwivedi oh spike your Eyes band thirty vine have sister’s twitter check tax,1,"(('__label__NEGATIVE,abe',), array([0.03265536]))"
this wanting in main any other can hither stick in have govt employees traders,2,"(('__label__NEUTRAL,other',), array([0.05385026]))"
applicable yang dinyanyikan concomitant soundcheck wembley concert green so reprisal best mic drop fake love Messiah your,2,"(('__label__POSITIVE,sir',), array([0.02047232]))"
poet also wit I ayah tho party band Will go thinking eat hare other second eat winning hold,1,"(('__label__POSITIVE,modi',), array([0.05589561]))"
good morning cute set happy sunday annaaaa,1,"(('__label__POSITIVE,awwwie',), array([0.04364315]))"
storm gaga video song Bhojpuri new song remix,1,"(('__label__NEUTRAL,the',), array([0.09095208]))"
moonstruck have what have dear,1,"(('__label__NEUTRAL,vine',), array([0.01956797]))"
underway sri ram oarsman stale you horn staple minister bank the blessing underway sri ram,1,"(('__label__POSITIVE,underway',), array([0.4429318]))"
their time Will thirty song occupation generally inspired streak very own unfaltering,0,"(('__label__POSITIVE,the',), array([0.08810791]))"
Arjun Reddy occupation good but today within man dard other donkey Look occupation,2,"(('__label__POSITIVE,the',), array([0.10129675]))"
nice leaf big fan marri hindi cub Will come,2,"(('__label__NEUTRAL,the',), array([0.06361935]))"
Motive slaughter and loot hotel have late horn trifling brother and nephew and Concerned broker criminal,0,"(('__label__NEGATIVE,congress',), array([0.01484915]))"
precinct spire have how can eat the same wrong again make the account live,0,"(('__label__POSITIVE,one',), array([0.05505459]))"
love eat anthem,2,"(('__label__NEUTRAL,love',), array([0.11409608]))"
bannu police Dommel hudood spectacle police contradistinction police ehlkar unfaltering Including Litigation matloob moeen muslim mara gia,1,"(('__label__NEUTRAL,morning',), array([0.00514197]))"
