tweet,actual,predicted
love looks good maddie ako clove young sobrang spice how may zolo soya before with the past mayo lowkey,1,"(('__label__POSITIVE',), array([0.62829995]))"
gonna start another june sour note Uhhhh yes yes yes,1,"(('__label__NEUTRAL',), array([0.57722533]))"
within address title chahta qki mere hither Tell,1,"(('__label__NEUTRAL',), array([0.68705124]))"
caring very more caring courier wale bsdk sign also self krlete my,0,"(('__label__NEGATIVE',), array([0.45991519]))"
status nonsense ever statement but fishing team successful other sakti log their liy,2,"(('__label__NEUTRAL',), array([0.39630398]))"
best luck sir world cup for ghost ghost Good luck,2,"(('__label__POSITIVE',), array([0.87140089]))"
yes great dialogues sacking one also stealth stealth over chhaddabeshi all except sholay,2,"(('__label__POSITIVE',), array([0.48127526]))"
state bhakti words the same wit Can have self Patriot log sir bharat Your The pieces pretense,0,"(('__label__NEUTRAL',), array([0.43864718]))"
pakistani team effort ahead allah marziiiiiiiiiiiii,2,"(('__label__POSITIVE',), array([0.74124527]))"
what tum our father family other who him bay sport Helpful fucker hua what,0,"(('__label__NEGATIVE',), array([0.92286581]))"
are Stayed other Modi then ban Gone mutely clean straightway straightway Characters,1,"(('__label__NEUTRAL',), array([0.45503986]))"
pimp photo elections yesterday more conversancy mat words,0,"(('__label__NEUTRAL',), array([0.47200707]))"
wadraaaa omnibus frame paisa other film industry then tentacle,0,"(('__label__NEGATIVE',), array([0.48119456]))"
dusting The one american your tyre accursed kardeti have and any exercise also other spire sacking sucks ive gained weight,0,"(('__label__NEUTRAL',), array([0.4911792]))"
wit I Rahul gandhi which words for udash have And victory have Modi other log up,0,"(('__label__NEUTRAL',), array([0.497545]))"
Sunita nigger jab And seal Will break more dard pier media anchor Will happen,0,"(('__label__NEUTRAL',), array([0.51274699]))"
Narendra Modi pure majority winning par very very greeting,2,"(('__label__POSITIVE',), array([0.93037468]))"
wise what invite other what most corrupted party indian history good politics from well done,0,"(('__label__NEUTRAL',), array([0.56525707]))"
volunteer abode straightforward austere lead open free coaching center for needy people,2,"(('__label__NEUTRAL',), array([0.48422962]))"
believe thirty not fake fight for cause not the flaws please Brother,1,"(('__label__NEUTRAL',), array([0.58038652]))"
vote advertency sub words vote other Get hindu muslim caste advertency unaccompanied vote bank,1,"(('__label__NEGATIVE',), array([0.41347966]))"
