tweet,actual,predicted
love looks good maddie ako clove young sobrang spice how may zolo soya before with the past mayo lowkey,1,"(('__label__POSITIVE',), array([0.58919871]))"
gonna start another june sour note Uhhhh yes yes yes,1,"(('__label__NEUTRAL',), array([0.60938889]))"
within address title chahta qki mere hither Tell,1,"(('__label__NEUTRAL',), array([0.77965367]))"
caring very more caring courier wale bsdk sign also self krlete my,0,"(('__label__NEGATIVE',), array([0.63681734]))"
status nonsense ever statement but fishing team successful other sakti log their liy,2,"(('__label__NEGATIVE',), array([0.41791627]))"
best luck sir world cup for ghost ghost Good luck,2,"(('__label__POSITIVE',), array([0.81420267]))"
yes great dialogues sacking one also stealth stealth over chhaddabeshi all except sholay,2,"(('__label__POSITIVE',), array([0.48197198]))"
state bhakti words the same wit Can have self Patriot log sir bharat Your The pieces pretense,0,"(('__label__NEUTRAL',), array([0.48333812]))"
pakistani team effort ahead allah marziiiiiiiiiiiii,2,"(('__label__POSITIVE',), array([0.91535532]))"
what tum our father family other who him bay sport Helpful fucker hua what,0,"(('__label__NEGATIVE',), array([0.96372998]))"
are Stayed other Modi then ban Gone mutely clean straightway straightway Characters,1,"(('__label__NEGATIVE',), array([0.49957582]))"
pimp photo elections yesterday more conversancy mat words,0,"(('__label__NEGATIVE',), array([0.49977291]))"
wadraaaa omnibus frame paisa other film industry then tentacle,0,"(('__label__NEGATIVE',), array([0.53838426]))"
dusting The one american your tyre accursed kardeti have and any exercise also other spire sacking sucks ive gained weight,0,"(('__label__NEUTRAL',), array([0.49562654]))"
wit I Rahul gandhi which words for udash have And victory have Modi other log up,0,"(('__label__NEUTRAL',), array([0.51550287]))"
Sunita nigger jab And seal Will break more dard pier media anchor Will happen,0,"(('__label__NEUTRAL',), array([0.66146719]))"
Narendra Modi pure majority winning par very very greeting,2,"(('__label__POSITIVE',), array([0.97441107]))"
wise what invite other what most corrupted party indian history good politics from well done,0,"(('__label__NEUTRAL',), array([0.52550191]))"
volunteer abode straightforward austere lead open free coaching center for needy people,2,"(('__label__NEUTRAL',), array([0.5712238]))"
believe thirty not fake fight for cause not the flaws please Brother,1,"(('__label__NEUTRAL',), array([0.53833938]))"
vote advertency sub words vote other Get hindu muslim caste advertency unaccompanied vote bank,1,"(('__label__NEUTRAL',), array([0.38275698]))"
pakistan start hone yesterday lyric hold tired sub match so Will play for india August Play ass main current uncork,0,"(('__label__NEUTRAL',), array([0.58452719]))"
acquire your views slow also upon times may feel better now hypocrate,0,"(('__label__NEUTRAL',), array([0.45837465]))"
many many greeting underway hind underway jawan underway tiller azaade hind Manish Military the blood sudor,2,"(('__label__POSITIVE',), array([0.8329221]))"
precinct have girl moonstruck have moonstruck significance have mentally disturbed Ranchi agra,0,"(('__label__NEGATIVE',), array([0.63993251]))"
bus sympathy team Will win Because Anushka slow dry dual god bless all,2,"(('__label__POSITIVE',), array([0.81529325]))"
watch exciting episode its sir muslim khan special with thirty,1,"(('__label__POSITIVE',), array([0.54836392]))"
this mercy young pokemon have,1,"(('__label__NEUTRAL',), array([0.37685743]))"
abe dog gross muslim wow Your nidus cake travelling doing have Your within dam have then,0,"(('__label__NEGATIVE',), array([0.84030753]))"
not happy with appointments far all see men getting appointed status about women women ain,0,"(('__label__NEUTRAL',), array([0.52505988]))"
Good india pakistan beech cricket world cup match but visualise much fun,1,"(('__label__NEUTRAL',), array([0.620574]))"
loru horn tera bap brt Career par cost hold have your mother’s Feed sell have father gand,0,"(('__label__NEGATIVE',), array([0.75189787]))"
means straight stinking girl best couple,2,"(('__label__NEUTRAL',), array([0.61852902]))"
Tobacco par Warning scripted spire have this workings cancer donkey have but government eyes band score,0,"(('__label__NEUTRAL',), array([0.49770454]))"
the only thing sacking want life see eat happy slow always smile love eat the moon slow back cuz,2,"(('__label__POSITIVE',), array([0.76612055]))"
account this sub on me rely tax are have fahad abb then transport industry on you rely Will do beta streak boy making,0,"(('__label__NEUTRAL',), array([0.50723004]))"
grab copy critically acclaimed best seller history the deep state ebook format,2,"(('__label__NEUTRAL',), array([0.50273073]))"
handsome hunk anthem Messiah allah keen fantastic mind blowing awesome anthem,2,"(('__label__POSITIVE',), array([0.84847844]))"
bin Your bin Your bin Your any Kharish The winds within bin Your please bring them back together,1,"(('__label__NEUTRAL',), array([0.57787973]))"
Narendra Modi greeting else resident and us lake informal rich din other ban hold have,1,"(('__label__POSITIVE',), array([0.60966134]))"
thinking hold times hers birthday par gift plastic ticker therefrom farm also Will remain and broken also other,0,"(('__label__NEUTRAL',), array([0.64911228]))"
congress finding took have anchor agar vestige Go To indulge wale dog for amish sad,0,"(('__label__NEGATIVE',), array([0.76768601]))"
time main okay tired pubg acrobatic the,1,"(('__label__NEUTRAL',), array([0.72104532]))"
livelong family terrorist have and self Itchy dog dog plz mother commission Your insult To do,2,"(('__label__NEGATIVE',), array([0.91194808]))"
jab then Ramji trail By falling Will ask other Will find other lyric baba tool K tax for main their K other,0,"(('__label__NEUTRAL',), array([0.60778105]))"
Sampi award best variety show busted best idol actor sehun best soundtrack live playfellow best couple kyungsoo,0,"(('__label__POSITIVE',), array([0.62151712]))"
many many Good luck hope eat scale new heights near future,0,"(('__label__POSITIVE',), array([0.68987739]))"
rubika Ages within you rich younger hun par big fan yours ever luck fantasm,1,"(('__label__POSITIVE',), array([0.58725113]))"
streak song Jis adnan sami mujahid part play Kenya tired adnan sami song recollection rush,1,"(('__label__NEUTRAL',), array([0.63775575]))"
election And victory public congress vote what tired,1,"(('__label__NEGATIVE',), array([0.59669989]))"
eat awesome much love slow hope see apsa,2,"(('__label__POSITIVE',), array([0.94925755]))"
brother sri Narendra Modi you sympathy Many Many greeting you temple section game commission,1,"(('__label__POSITIVE',), array([0.69949764]))"
oye have nikey consternation bang chaper have Your moo main sun other informal somewhere abey,2,"(('__label__NEUTRAL',), array([0.52083945]))"
reminds famous dialogue welcome movie saudi arabia billion what tera father fuck conversancy tired your mother’s,0,"(('__label__NEGATIVE',), array([0.62921607]))"
us state daughter-in-law aboard public The need who padhegionly for good job good salary india worth tired,0,"(('__label__POSITIVE',), array([0.53378475]))"
