tweet,actual,predicted
love looks good maddie ako clove young sobrang spice how may zolo soya before with the past mayo lowkey,1,"(('__label__POSITIVE',), array([0.60758328]))"
gonna start another june sour note Uhhhh yes yes yes,1,"(('__label__NEUTRAL',), array([0.64142865]))"
within address title chahta qki mere hither Tell,1,"(('__label__NEUTRAL',), array([0.73984486]))"
caring very more caring courier wale bsdk sign also self krlete my,0,"(('__label__NEGATIVE',), array([0.64310491]))"
status nonsense ever statement but fishing team successful other sakti log their liy,2,"(('__label__NEGATIVE',), array([0.43377867]))"
best luck sir world cup for ghost ghost Good luck,2,"(('__label__POSITIVE',), array([0.87561744]))"
yes great dialogues sacking one also stealth stealth over chhaddabeshi all except sholay,2,"(('__label__POSITIVE',), array([0.46984559]))"
state bhakti words the same wit Can have self Patriot log sir bharat Your The pieces pretense,0,"(('__label__NEUTRAL',), array([0.45752847]))"
pakistani team effort ahead allah marziiiiiiiiiiiii,2,"(('__label__POSITIVE',), array([0.85656065]))"
what tum our father family other who him bay sport Helpful fucker hua what,0,"(('__label__NEGATIVE',), array([0.97767329]))"
are Stayed other Modi then ban Gone mutely clean straightway straightway Characters,1,"(('__label__NEGATIVE',), array([0.61579424]))"
pimp photo elections yesterday more conversancy mat words,0,"(('__label__NEGATIVE',), array([0.50558466]))"
wadraaaa omnibus frame paisa other film industry then tentacle,0,"(('__label__NEGATIVE',), array([0.60659486]))"
dusting The one american your tyre accursed kardeti have and any exercise also other spire sacking sucks ive gained weight,0,"(('__label__NEGATIVE',), array([0.45167646]))"
wit I Rahul gandhi which words for udash have And victory have Modi other log up,0,"(('__label__NEGATIVE',), array([0.49641341]))"
Sunita nigger jab And seal Will break more dard pier media anchor Will happen,0,"(('__label__NEUTRAL',), array([0.68565625]))"
Narendra Modi pure majority winning par very very greeting,2,"(('__label__POSITIVE',), array([0.96095294]))"
wise what invite other what most corrupted party indian history good politics from well done,0,"(('__label__NEUTRAL',), array([0.48598948]))"
volunteer abode straightforward austere lead open free coaching center for needy people,2,"(('__label__NEUTRAL',), array([0.57607448]))"
believe thirty not fake fight for cause not the flaws please Brother,1,"(('__label__NEUTRAL',), array([0.47913024]))"
vote advertency sub words vote other Get hindu muslim caste advertency unaccompanied vote bank,1,"(('__label__NEUTRAL',), array([0.384056]))"
pakistan start hone yesterday lyric hold tired sub match so Will play for india August Play ass main current uncork,0,"(('__label__NEUTRAL',), array([0.59269351]))"
acquire your views slow also upon times may feel better now hypocrate,0,"(('__label__NEUTRAL',), array([0.4646309]))"
many many greeting underway hind underway jawan underway tiller azaade hind Manish Military the blood sudor,2,"(('__label__POSITIVE',), array([0.8318646]))"
precinct have girl moonstruck have moonstruck significance have mentally disturbed Ranchi agra,0,"(('__label__NEGATIVE',), array([0.67850202]))"
bus sympathy team Will win Because Anushka slow dry dual god bless all,2,"(('__label__POSITIVE',), array([0.82529014]))"
watch exciting episode its sir muslim khan special with thirty,1,"(('__label__POSITIVE',), array([0.54369134]))"
this mercy young pokemon have,1,"(('__label__NEGATIVE',), array([0.40604758]))"
abe dog gross muslim wow Your nidus cake travelling doing have Your within dam have then,0,"(('__label__NEGATIVE',), array([0.84748542]))"
not happy with appointments far all see men getting appointed status about women women ain,0,"(('__label__NEUTRAL',), array([0.52617139]))"
Good india pakistan beech cricket world cup match but visualise much fun,1,"(('__label__NEUTRAL',), array([0.62763232]))"
loru horn tera bap brt Career par cost hold have your mother’s Feed sell have father gand,0,"(('__label__NEGATIVE',), array([0.79363024]))"
means straight stinking girl best couple,2,"(('__label__NEUTRAL',), array([0.60299158]))"
Tobacco par Warning scripted spire have this workings cancer donkey have but government eyes band score,0,"(('__label__NEUTRAL',), array([0.48595354]))"
the only thing sacking want life see eat happy slow always smile love eat the moon slow back cuz,2,"(('__label__POSITIVE',), array([0.76445389]))"
account this sub on me rely tax are have fahad abb then transport industry on you rely Will do beta streak boy making,0,"(('__label__NEUTRAL',), array([0.5003038]))"
grab copy critically acclaimed best seller history the deep state ebook format,2,"(('__label__NEUTRAL',), array([0.48190877]))"
handsome hunk anthem Messiah allah keen fantastic mind blowing awesome anthem,2,"(('__label__POSITIVE',), array([0.85841936]))"
bin Your bin Your bin Your any Kharish The winds within bin Your please bring them back together,1,"(('__label__NEUTRAL',), array([0.56412822]))"
Narendra Modi greeting else resident and us lake informal rich din other ban hold have,1,"(('__label__POSITIVE',), array([0.6282922]))"
thinking hold times hers birthday par gift plastic ticker therefrom farm also Will remain and broken also other,0,"(('__label__NEUTRAL',), array([0.60151142]))"
congress finding took have anchor agar vestige Go To indulge wale dog for amish sad,0,"(('__label__NEGATIVE',), array([0.79728621]))"
time main okay tired pubg acrobatic the,1,"(('__label__NEUTRAL',), array([0.69948113]))"
livelong family terrorist have and self Itchy dog dog plz mother commission Your insult To do,2,"(('__label__NEGATIVE',), array([0.90443075]))"
jab then Ramji trail By falling Will ask other Will find other lyric baba tool K tax for main their K other,0,"(('__label__NEUTRAL',), array([0.48245403]))"
Sampi award best variety show busted best idol actor sehun best soundtrack live playfellow best couple kyungsoo,0,"(('__label__POSITIVE',), array([0.61104959]))"
many many Good luck hope eat scale new heights near future,0,"(('__label__POSITIVE',), array([0.70058501]))"
rubika Ages within you rich younger hun par big fan yours ever luck fantasm,1,"(('__label__POSITIVE',), array([0.5503006]))"
streak song Jis adnan sami mujahid part play Kenya tired adnan sami song recollection rush,1,"(('__label__NEUTRAL',), array([0.61840832]))"
election And victory public congress vote what tired,1,"(('__label__NEGATIVE',), array([0.62558603]))"
eat awesome much love slow hope see apsa,2,"(('__label__POSITIVE',), array([0.93947279]))"
brother sri Narendra Modi you sympathy Many Many greeting you temple section game commission,1,"(('__label__POSITIVE',), array([0.68969142]))"
oye have nikey consternation bang chaper have Your moo main sun other informal somewhere abey,2,"(('__label__NEUTRAL',), array([0.4723427]))"
reminds famous dialogue welcome movie saudi arabia billion what tera father fuck conversancy tired your mother’s,0,"(('__label__NEGATIVE',), array([0.65794182]))"
us state daughter-in-law aboard public The need who padhegionly for good job good salary india worth tired,0,"(('__label__POSITIVE',), array([0.50061363]))"
BJP wale bunglow theft we strain Broken wale uncork tired To everyone children din I,2,"(('__label__NEGATIVE',), array([0.74309725]))"
eat get ram chanting underway sri ram ram wit work,0,"(('__label__NEUTRAL',), array([0.5964849]))"
government what some other tax sakti us Sent other Will come tum thinking also other Can,0,"(('__label__NEGATIVE',), array([0.52747697]))"
love gone gal,2,"(('__label__NEUTRAL',), array([0.55130255]))"
who The rumor Spread computer baba silent supporter the and,1,"(('__label__NEUTRAL',), array([0.66407025]))"
khusra pakistan maraud To do Friends fever Does qoom abrasive disdain,0,"(('__label__NEGATIVE',), array([0.68719018]))"
really have take boat get home out here damn just want sleep,1,"(('__label__NEUTRAL',), array([0.77300686]))"
thank eat june thank eat for all the great news now ahead slow the best june ever,2,"(('__label__POSITIVE',), array([0.93698305]))"
saving one life saves humanity blood donors fori adult hay may wed night Bet pyhly may for Bipas,2,"(('__label__NEUTRAL',), array([0.55075228]))"
respected Modi you bar fir new india want snap for you Hearty Good luck,2,"(('__label__POSITIVE',), array([0.73355854]))"
manniy Narendra Modi withdrawnness bar established lane infinity Best wishes hope world year then,2,"(('__label__POSITIVE',), array([0.57594335]))"
ggggg Sure my characteristics plant dyna shake after bura many,1,"(('__label__NEUTRAL',), array([0.51724797]))"
other leave may Because agar congress at bharat acquire have inka congress President turn Must have,1,"(('__label__NEGATIVE',), array([0.55464661]))"
hope suit sir yours conversancy marvelous,1,"(('__label__NEUTRAL',), array([0.6343739]))"
acid publish sekhly tertiary breed fail,1,"(('__label__NEGATIVE',), array([0.69295698]))"
