tweet,actual,predicted
love looks good maddie ako clove young sobrang spice how may zolo soya before with the past mayo lowkey,1,"(('__label__POSITIVE',), array([0.52111965]))"
gonna start another june sour note Uhhhh yes yes yes,1,"(('__label__NEUTRAL',), array([0.6395216]))"
within address title chahta qki mere hither Tell,1,"(('__label__NEUTRAL',), array([0.75672328]))"
caring very more caring courier wale bsdk sign also self krlete my,0,"(('__label__NEGATIVE',), array([0.79993981]))"
status nonsense ever statement but fishing team successful other sakti log their liy,2,"(('__label__NEGATIVE',), array([0.35419086]))"
best luck sir world cup for ghost ghost Good luck,2,"(('__label__POSITIVE',), array([0.82231253]))"
yes great dialogues sacking one also stealth stealth over chhaddabeshi all except sholay,2,"(('__label__NEUTRAL',), array([0.5569706]))"
state bhakti words the same wit Can have self Patriot log sir bharat Your The pieces pretense,0,"(('__label__NEUTRAL',), array([0.52424794]))"
pakistani team effort ahead allah marziiiiiiiiiiiii,2,"(('__label__POSITIVE',), array([0.95678413]))"
what tum our father family other who him bay sport Helpful fucker hua what,0,"(('__label__NEGATIVE',), array([0.97018868]))"
are Stayed other Modi then ban Gone mutely clean straightway straightway Characters,1,"(('__label__NEGATIVE',), array([0.65858078]))"
pimp photo elections yesterday more conversancy mat words,0,"(('__label__NEGATIVE',), array([0.65311748]))"
wadraaaa omnibus frame paisa other film industry then tentacle,0,"(('__label__NEGATIVE',), array([0.63571614]))"
dusting The one american your tyre accursed kardeti have and any exercise also other spire sacking sucks ive gained weight,0,"(('__label__NEUTRAL',), array([0.48623204]))"
wit I Rahul gandhi which words for udash have And victory have Modi other log up,0,"(('__label__NEUTRAL',), array([0.47267705]))"
Sunita nigger jab And seal Will break more dard pier media anchor Will happen,0,"(('__label__NEUTRAL',), array([0.65041977]))"
Narendra Modi pure majority winning par very very greeting,2,"(('__label__POSITIVE',), array([0.97913671]))"
wise what invite other what most corrupted party indian history good politics from well done,0,"(('__label__POSITIVE',), array([0.51748872]))"
volunteer abode straightforward austere lead open free coaching center for needy people,2,"(('__label__NEUTRAL',), array([0.64138609]))"
