tweet,actual,predicted
love looks good maddie ako clove young sobrang spice how may zolo soya before with the past mayo lowkey,1,"(('__label__NEUTRAL',), array([0.50841314]))"
gonna start another june sour note Uhhhh yes yes yes,1,"(('__label__POSITIVE',), array([0.53060341]))"
within address title chahta qki mere hither Tell,1,"(('__label__NEUTRAL',), array([0.983522]))"
caring very more caring courier wale bsdk sign also self krlete my,0,"(('__label__NEGATIVE',), array([0.99938482]))"
status nonsense ever statement but fishing team successful other sakti log their liy,2,"(('__label__NEUTRAL',), array([0.68970746]))"
best luck sir world cup for ghost ghost Good luck,2,"(('__label__NEUTRAL',), array([0.94131672]))"
yes great dialogues sacking one also stealth stealth over chhaddabeshi all except sholay,2,"(('__label__NEUTRAL',), array([0.68155748]))"
state bhakti words the same wit Can have self Patriot log sir bharat Your The pieces pretense,0,"(('__label__NEUTRAL',), array([0.94648248]))"
pakistani team effort ahead allah marziiiiiiiiiiiii,2,"(('__label__NEGATIVE',), array([0.98989534]))"
what tum our father family other who him bay sport Helpful fucker hua what,0,"(('__label__NEGATIVE',), array([0.99952567]))"
are Stayed other Modi then ban Gone mutely clean straightway straightway Characters,1,"(('__label__NEGATIVE',), array([0.97287083]))"
pimp photo elections yesterday more conversancy mat words,0,"(('__label__NEGATIVE',), array([0.99456847]))"
wadraaaa omnibus frame paisa other film industry then tentacle,0,"(('__label__NEGATIVE',), array([0.99740875]))"
dusting The one american your tyre accursed kardeti have and any exercise also other spire sacking sucks ive gained weight,0,"(('__label__NEUTRAL',), array([0.94893187]))"
wit I Rahul gandhi which words for udash have And victory have Modi other log up,0,"(('__label__NEUTRAL',), array([0.53339112]))"
Sunita nigger jab And seal Will break more dard pier media anchor Will happen,0,"(('__label__NEUTRAL',), array([0.96555352]))"
Narendra Modi pure majority winning par very very greeting,2,"(('__label__POSITIVE',), array([0.99997926]))"
wise what invite other what most corrupted party indian history good politics from well done,0,"(('__label__NEUTRAL',), array([0.58893013]))"
volunteer abode straightforward austere lead open free coaching center for needy people,2,"(('__label__NEUTRAL',), array([0.90191847]))"
believe thirty not fake fight for cause not the flaws please Brother,1,"(('__label__NEUTRAL',), array([0.86319149]))"
vote advertency sub words vote other Get hindu muslim caste advertency unaccompanied vote bank,1,"(('__label__NEGATIVE',), array([0.77782351]))"
pakistan start hone yesterday lyric hold tired sub match so Will play for india August Play ass main current uncork,0,"(('__label__NEUTRAL',), array([0.55422729]))"
